"Name","Type of Institution","Old Name","Date Reregistered","Street Address","Area","State","Telephone","Fax","website","eMail","Postal Address","Country","Ownership Type","Comments","Date Licensed"
"A.A. Silla Bureau de Chage","Bureau De Change","","","4, Sanni Adewale Street, 2nd Floor, Lagos Island
","Lagos Island","LAG","","","","","","NGN","Domestic","","8/19/2008",
"A.B.A. BDC Limited","Bureau De Change","","6/11/2007","59, Murtala Mohammed Way, Wapa,","","KAN","064-637710; 08033062863; 08056173630","","","","","NGN","Domestic","","6/11/2007",
"A.B.Y. BDC Ltd","Bureau De Change","","","NO 15 ASHTON ROAD, KANO","Kano","KAN","064-649891, 064-668205","","","","","NGN","Domestic","","12/22/2010",
"A.D.Y. BDC LTD","Bureau De Change","","","NO. 7 CIVIC CENTRE ROAD, KANO","Kano","KAN","","","","","","NGN","Domestic","","1/26/2011",
"A.F.A Bureau de Change Limited","Bureau De Change","","","Abuja","","ABU","","","","","","NGN","Domestic","","",
"A.G Tsoho Dogo Bureau de Change Limited","Bureau De Change","","","33, Unity Road, Kano","Kano","KAN","","","","","","NGN","Domestic","","",
"A.G.Y.L. Bureau de Change Limited","Bureau De Change","","","23, Zainab House, Ibrahim Taiwo Road, Kwari, Kano","kano","KAN","08023041925, 064-328999","","","","","NGN","Domestic","","5/14/2009",
"A.H.M-Raf BDC Ltd 
","Bureau De Change","","","22/24 ABIBU OKI STR,(PRINCE PLAZA)LAGOS ISLAND
","Lagos Island","LAG","080-32085517","","","","","NGN","Domestic","","2/19/2011",
"A.I.A BDC Limited","Bureau De Change","","7/3/2007","plot 510 olusegun obasanjo way","Zone 1 Wuse","ABU","","","","","Plot 510 Olusegun Obasanjo Way . Wuse Abuja","NGN","","","7/3/2007",
"A.I.B Bureau de Change Limited","Bureau De Change","","","7, Kwari Market Road, Opposite Afribank, Kano","kano","KAN","08023773327; 08023041920","","","","","NGN","Domestic","","5/27/2010",
"A.M.D. Bureau de Change Limited","Bureau De Change","","","27, Sulu Bolaji Street, Lagos","","LAG","","","","","","NGN","Domestic","","6/26/2008",
"A.S.K. Bureau de Change Limited","Bureau De Change","","","20, Ibrahim Taiwo Road, Kano","Kano","KAN","","","","","","NGN","Domestic","","5/15/2009",
"A.T.Nasiha Bureau De Change Limited","Bureau De Change","","","63, Ibrahim Taiwo Road, Kano, Kano State","","KAN","064634694, 064208829, 08023045802","","","nasihabdc@yahoo.com","63, Ibrahim Taiwo Road, Kano, Kano State","NGN","Domestic","Licensed on 13th November, 2007","11/13/2007",
"A.U.B. Bureau de Change Limited","Bureau De Change","","","565, Illo Road, Wappa Fagge, Kano","","KAN","","","","","","NGN","Domestic","","5/15/2009",
"A.Y. Yan Azara Bureau de Change Limited","Bureau De Change","","","59, Murtala Mohd Way, Wapa, Kano","","KAN","08026779009, 08054420234","","","","","NGN","Domestic","","1/20/2010",
"A/A Bureau de Change Limited","Bureau De Change","","","17/18,Fagge T/Kudu Near First Bank, Gidan Gwamnan","Gidan Gwamnan Maradi","KAN","08026779009, 08054420234","","","","","NGN","Domestic","","1/20/2010",
"Aaliyah Bureau de Change Limited","Bureau De Change","","","4, Civic Centre Road, Kano","kano","KAN","08098229851","","","","","NGN","Domestic","","6/22/2009",
"Aanu Bureau de Change Limited","Bureau De Change","","","2nd Floor, Aje House, Dugbe, Ibadan","","OYO","8098229851","","","","","NGN","Domestic","","6/22/2009",
"Abaje Bureau De Change Limited","Bureau De Change","","6/22/2007","No. 29, Unity Road, Kano","","KAN","","","","","","NGN","Domestic","","6/22/2007",
"Abas Bureau de Change Limited","Bureau De Change","","","49, Murtala Muhd Way, 4th Flr, Zainab House Kano","","KAN","","","","","","NGN","Domestic","","6/22/2009",
"ABC-Akudi Limited Bureau De Change","Bureau De Change","","6/22/2007","6, Ndu Best Avenue, Sindu Plaza;","","LAG","08033270775","","","","Alaba-Lagos","NGN","Domestic","","6/22/2007",
"Abdulrahman Allah Anfana Bureau De Change Limited","Bureau De Change","","","26, Muhammad Buhari Way, Kaduna","","KAD","08062615512, 08033149921","","","","26, Muhammad Buhari Way, Kaduna","NGN","Domestic","Licensed on 18th September, 2007","9/18/2007",
"Abduyush Bureau de Change Limited","Bureau De Change","","","59, Murtala Mohammed Way, Fagge D2, Kano","kano","KAN","","","","","","NGN","Domestic","","4/17/2008",
"Abibal Bureau De Change Limited","Bureau De Change","","","Suite 20, Block F, Obi Village, MMA Local Airport,","","LAG","","","","","Suite 20, Block F, Obi Village, MMA Local Airport,","NGN","Domestic","","8/10/2007",
"Abiding Will Bureau de Change Limited","Bureau De Change","","","82, Allen Avenue, Ikeja","ikeja","LAG","0803 301 6171","","","","","NGN","Domestic","","4/17/2008",
"Ablerock Bureau De Change Limited","Bureau De Change","","6/22/2007","Plot 1552, T.Y. Danjuma Street, ","","ABU","09-3145976","","","","Asokoro Shopping Mall,","NGN","Domestic","","6/22/2007",
"Absan Bureau de Change Limited","Bureau De Change","","","10, Zoo Road, Giden Sani, Kwangila, Kano","kano","KAN","080-33482915","","","","","NGN","Domestic","","1/26/2011",
"Absha BDC Ltd","Bureau De Change","","","NO 702,ILLO WAY,WAPA,MM WAY FAGGE,KANO","Kano","KAN","080-33482915","","","","","NGN","Domestic","","1/26/2011",
"ABUBAKAR IBRAHIM BUREAU DE CHANGE LTD","Bureau De Change","","","F1 (1st Flr), Alaba Interl. Market Road, Alaba.","Alaba","LAG","","","","","","NGN","Domestic","","4/24/2009",
"Abubakar Isah Bureau de Change Limited","Bureau De Change","","","59, Murtala Mohd Way, Fagge Wapa Complex","Old Al-Amir Restaurant, Kano","KAN","07031167195, 064956862","","","","","NGN","Domestic","","6/26/2008",
"Abulet Bureau De Change Limited","Bureau De Change","","6/12/2007","15 /17 Abibu Oki Street","","LAG","","","","","15 / 17 Abibu Oki Street Lagos","NGN","","","6/12/2007",
"ACA Bureau De Change Limited","Bureau De Change","","","10, Sanni Adewale Street, 4th Floor, Lagos Island","","LAG","01 - 2667167; 2667168; 2667169","","","","10, Sanni Adewale Street, 4th Floor, Lagos Island","NGN","Domestic","","6/13/2006",
"ACCLAIM BUREAU DE CHANGE LIMITED","Bureau De Change","","","114, BROAD STREET, LAGOS","","LAG","0805 600 1562","","","","","NGN","Domestic","","",
"Accord Bureau De Change Limited","Bureau De Change","","","2, Venn Road, North, Onitsha","","ANA","0803 3083038","","","","2, Venn Road, North, Onitsha","NGN","Domestic","","7/31/2007",
"Ackard Bureau de Change Limited","Bureau De Change","","","37 Breadfruit Street, Lagos","lagos","LAG","0805 600 1562","","","","","NGN","Domestic","","5/19/2008",
"ACML Bureau De Change Limited","Bureau De Change","","6/22/2007","13th Floor, New Africa House; 31, Marina;","","LAG","01-2660868","","","","Royal Exchange Building, ","NGN","Domestic","","6/22/2007",
"ACTIVE TRADE BDC LAGOS","Bureau De Change","","","Plot 130, Awolowo Road","South West, Ikoyi","LAG","","","","","130 Awolowo Road . South West, Ikoyi Lagos.","NGN","","","",
"Adage Bureau De Change Limited","Bureau De Change","","6/22/2007","23/29, Abibu Oki Street, Lagos","Lagos Island","LAG","08055289478","","","","","NGN","Domestic","","6/22/2007",
"Adakawa Bureau de Change Limited","Bureau De Change","","","561, Tanko Shattima Road, Wapa-Fagge, Kano","kano","KAN","0833482915","","","","","NGN","Domestic","","1/30/2009",
"Addco Bureau De Change Limited","Bureau De Change","","","33, Alake Onilere Crescent, Gbagada Estate, Phase ","","LAG","08055434338; 08033281654","","","","33, Alake Onilere Crescent, Gbagada Estate, Phase ","NGN","Domestic","","8/10/2007",
"Adeco Finance Bureau De Change Limited","Bureau De Change","","6/22/2007","5, Williams Street, Lagos","Lagos Island","LAG","","","","","","NGN","Domestic","","6/22/2007",
"Adept Bureau De Change Limited","Bureau De Change","","","141, Idimu Road, Orelope Bus Stop, Egbeda, Lagos","","LAG","0802 312 7451; 0803 370 5886; 0806 779 1117","","","info@adeptbureaudechnage.com","141, Idimu Road, Orelope Bus Stop, Egbeda, Lagos","NGN","Domestic","","8/10/2007",
"Adonai BDC Ltd","Bureau De Change","","","NIG. REINSURANCE HOUSE 5th FLR,46 MARINA STREET.","Lagos","LAG","234-1-2669351,7214534","","","adonaistockbrokersltd@yahoo.com","","NGN","Domestic","","9/16/2010",
"Adyusna Bureau De Change Limited","Bureau De Change","","","Rodeo Shopping Complex, 148, Awolowo Way, Ikeja.","","LAG","8033018242","","","","Rodeo Shopping Complex, 148, Awolowo Way, Ikeja.","NGN","Domestic","","12/18/2007",
"Afolam Bureau de Change Limited","Bureau De Change","","","Shop 2,Abiodun Amore Complex,Opp.Old Scala Cinema","Sabo, Ibadan","OYO","","","","","","NGN","Domestic","","",
"Afribond BDC Ltd","Bureau De Change","","","3 EZENEI ROAD, OFF NNEBISI ROAD, ASABA","Asaba","DEL","8033254755","","","stevedede7@yahoo.com","","NGN","Domestic","","12/19/2010",
"African Shelter Bureau de Change","Bureau De Change","","","51A, Apongbon Street, Lagos","Lagos","LAG","","","","","","NGN","Domestic","","",
"Africiane Bureau De Change Limited","Bureau De Change","","","139, Broad Street, Lagos","Lagos","LAG","","","","","","NGN","Domestic","","5/25/2009",
"Afrinvest Bureau De Change Limited","Bureau De Change","","","Foreshore Towers, 5th Floor, 2A Osborne Road, Ikoy","Lagos Island","LAG","08023418381","","","","Foreshore Towers, 5th Floor, 2A Osborne Road, Ikoy","NGN","Domestic","","",
"Agnus Dei Bureau de Change Limited","Bureau De Change","","","Block D649-D652, Alaba Int. Market, Ojo, Lagos","Ojo","LAG","","","","","","NGN","Domestic","","12/22/2008",
"Aha BDC Ltd","Bureau De Change","","","NO. 699 FAGGE, D2 WAPA KANO","Kano","KAN","08039714044, 08098714044","","","","","NGN","Domestic","","1/26/2011",
"Ahali BDC Ltd","Bureau De Change","","","NO. 650 FAGGE D2 WAPA KANO","Kano","KAN","08039714044, 08098714044","","","","","NGN","Domestic","","1/26/2011",
"AHB Bureau de Change Limited","Bureau De Change","","","17, Constantine Str. Suite 301,2nd Flr,FABDAL Plz","Wuse Zone A, Abuja","ABU","09-5230131; 08035871943; 08035864689","","","","","NGN","Domestic","","5/16/2008",
"Ahdan Bureau de Change Limited","Bureau De Change","","","42, Bello Dangado Road, Kano","kano","KAN","08054514643","","","","","NGN","Domestic","","8/27/2008",
"Ahijo Bureau De Change Limited","Bureau De Change","","","1, Sulu Bolaji Street, Off Martins Street, Lagos I","","LAG","01-2664777; 2640370; 0803 305 9413","","","","1, Sulu Bolaji Street, Off Martins Street, Lagos I","NGN","Domestic","","5/7/2007",
"Aiq Capital BDC Ltd","Bureau De Change","","","NO 17 ADEOLA HOPEWELL STR,VI","Victoria Island","LAG","","","","","","NGN","Domestic","","1/26/2011",
"Airaq BDC Ltd","Bureau De Change","","","NO 160 IKOTUN-IDIMU RD,BY NOBEX  BUSTOP,IKOTUN","IKotun","LAG","08085898449, 07042236244","","","","","NGN","Domestic","","12/22/2010",
"AIRCASH BUREAU DE CHANGE LTD","Bureau De Change","","","107A, ALLEN AVENUE, IKEJA, LAGOS","Ikeja","LAG","","","","","","NGN","Domestic","","1/20/2009",
"Aishatco Bureau De Change Limited","Bureau De Change","","","No. 18, Gyadi-Gyadi Road, Zaria Road, Kano","Kano","KAN","","","","","","NGN","Domestic","","5/25/2009",
"Aislinn BDC Ltd","Bureau De Change","","","22/24 ABIBU OKI STR,(PRINCE PLAZA)LAGOS ISLAND","","ABI","8029991068","","","","","NGN","Domestic","","11/28/2010",
"Aizab Bureau de Change Limited","Bureau De Change","","","Blk 3,FAAN Shopping Complex ","Int/Local Airport Link Rd Ikeja","LAG","01 - 7756769, 08033020266, 08023641177","","","","","NGN","Domestic","","",
"Ajinabak BDC Ltd","Bureau De Change","","","SUIT15 RODEO SHOPPINGMALL,148 OBAFEMI AWOLOWO WAY","Lagos","LAG","08033271272, 08073947666","","","","","NGN","Domestic","","1/26/2011",
"AKINKUB BUREAU DE CHANGE LIMITED","Bureau De Change","","","ST32,148 RODEO SHOPPING MALL,OBAFEMI AWOLOWO WAY","Ikeja","LAG","08024318450, 08032667862","","","","","NGN","Domestic","","4/24/2009",
"Akpaleji Bureau de Change Limited","Bureau De Change","","","No 25, Bida Rd, Odoakpu, Onitsha, Anambra State. ","Anambra","ANA","08063689590, 08050257709","","","","","NGN","Domestic","","7/25/2008",
"Al Bashir Bureau de Change Ltd","Bureau De Change","","","No.6,Rahama Plaza,Wuse Zone 4,near sheraton hotel","Abuja","ABU","08035960764, 08053533310, 08033535053","","","","","NGN","Domestic","","5/15/2009",
"Al Halai Bureau de Change Limited","Bureau De Change","","","650, Wapa, by Illo Road, Kano","","KAN","","","","","","NGN","Domestic","","",
"Al-Amanat Nigeria Limited Bureau De Change","Bureau De Change","","6/22/2007","652, Ilo Avenue, Wapa","","KAN","","","","","","NGN","Domestic","","6/22/2007",
"Al'Amin Bureau de Change Limited","Bureau De Change","","","3/5, Kosoko Street, Lagos Island","","LAG","0803 3679012","","","","","NGN","Domestic","","3/17/2008",
"Al-Amira Burea De Change Limited","Bureau De Change","","","No. 100 Zoo Road, Kano, Kano State","Kano","KAN","","","","","No. 100 Zoo Road, Kano, Kano State","NGN","Domestic","licensed as bureau de change","",
"Alatiron BDC Ltd ","Bureau De Change","","","NO. 51 MARINA (KINGSWAY BUILDING 3RD FLOOR) LAGOS","","LAG","234-9-8702556, 46149989","","","","","NGN","Domestic","","1/26/2011",
"Albaraka Bureau de Change Limited
","Bureau De Change","","","No.E109,Ramat Shopping Complex,Off Ahmadu Bello","Ahmadu bello way","BOR","08023252079","","",""," P.O. Box 4423, Maiduguri
","NGN","Domestic","","1/26/2011",
"Alco Bureau de Change Limited","Bureau De Change","","","103, Opp. New Car Park, Zoo Road, Kano
","","KAN","","","","","","NGN","Domestic","","1/26/2009",
"Alfam Bureau de Change Limited","Bureau De Change","","","13, Zaria Road, Opposite Kano State House of Assem","Kano","KAN","","","","","13, Zaria Road, Opposite Kano State House of Assem","NGN","Domestic","","8/15/2007",
"Alfatashir Bureau de Change Limited","Bureau De Change","","","565, Fagge D2, Illo Road, Wapa, Kano. ","","KAN","","","","","","NGN","Domestic","","1/26/2009",
"Alfijir Bureau De Change Limited","Bureau De Change","","","Sani Kalgo Road, Near Birni Kebbi Central Market, ","","KEB","","","","","Sani Kalgo Road, Near Birni Kebbi Central Market, ","NGN","Domestic","Licensed on 23rd November, 2007","7/23/2007",
"Al-gulam BDC Limited","Bureau De Change","","6/11/2007","Suite 3, 1st Floor, Zone 4 Plaza, Addis Ababa Cres","","ABU","09-5234321; 08033311139","09-5231781","","","Wuse Zone 4, ","NGN","Domestic","","6/11/2007",
"Alh. Mukaila Abubakar Bureau de Change","Bureau De Change","","","40, Sakponba Road, Benin-City
","","EDO","052 - 250725; 254092","","","","","NGN","Domestic","","",
"Alh. UBA Sale Chamo Bureau de Change Limited
","Bureau De Change","","","466, Abale Street, Wapa, Kano.
","Kano","KAN","8036813780","","","","","NGN","Domestic","","",
"Alh. Umar Kime BDC Ltd
","Bureau De Change","","","NO A3 JANGIDA WAFA FAGGE, KANO
","Kano","KAN","08032397890, 08035545656","","","umarkime@yahoo.com","","NGN","Domestic","","10/21/2010",
"ALHAJI ABUBAKAR MUKAILA BDC","Bureau De Change","","","40 Sakpoba Road","Benini City","EDO","","","","","40, Sakpoba Road, Beini City. Edo State.","NGN","","","",
"ALHAJI DANJUMA BDC LIMITED","Bureau De Change","","","66 Alfa nla Street","Agege","LAG","","","","","66 Alfa Nla Street  Agege. Lagos.","NGN","","","",
"Alhaji Sabo BDC Ltd
","Bureau De Change","","","NO 39E ADO BAYERO ROAD(FIRST FLOOR)
","","KAN","08033360091, 08069226476","","","","","NGN","Domestic","","12/19/2010",
"Al-Halal Bureau de Change Limited
","Bureau De Change","","","650, Wapa, By Illo Road, Kano
","","KAN","","","","","","NGN","Domestic","","",
"Al-Haqq Investment and Exchange BDC Ltd
","Bureau De Change","","","10, Sanni Adewale Street, Lagos Island
","","LAG","0803 311 6902; 0805 829 3566","","","","","NGN","Domestic","","9/23/2008",
"ALHARAN BUREAU DE CHANGE LIMITED
","Bureau De Change","","","58, ABBA GANA STREET, FAGGE, KANO
","","KAN","8037053138","","","","","NGN","Domestic","","10/22/2008",
"Al-Heri BDC Ltd
","Bureau De Change","","","NO. 77 AWOLOWO WAY, IKEJA LAGOS
","Ikeja","LAG","08023277735, 01-2557132","","","","","NGN","Domestic","","1/26/2011",
"Al-Ihsan Bureau de Change Limited","Bureau De Change","","","7A, Ahmadu Belllo Way, Kano","","KAN","064-642891; 0803 326 5444","","","","7A, Ahmadu Belllo Way, Kano","NGN","Domestic","","",
"Al-Kauthar BDC Ltd
","Bureau De Change","","","NO. 20 IBB WAY FAGGE, KANO
","","KAN","08065150537, 08036228217","","","","","NGN","Domestic","","11/28/2011",
"Alkhair Bureau de Change Limited","Bureau De Change","","","No. 19, Idi Praying Ground Shopping Complex ","Gusau","ZAM","","","","","Sani Abacha Way,","NGN","Domestic","","8/16/2007",
"All Saints Bureau De Change Limited","Bureau De Change","","","20, Agunbiade Street, Oke Koto, Agege, Lagos","","LAG","","","","","20, Agunbiade Street, Oke Koto, Agege, Lagos","NGN","Domestic","","5/15/2007",
"Allstates Bureau De Change Limited","Bureau De Change","","6/22/2007","Federal Palace Hotel; 88, Ahmadu Bello Way","","LAG","01-2611645","","","","Victoria Island,","NGN","Domestic","","6/22/2007",
"Almarks Bureau De Change Limited","Bureau De Change","","6/22/2007","72, Douglas Road, Owerri","","IMO","083-231606; 230968","","","","","NGN","Domestic","","6/22/2007",
"AL-MEEN INVESTMENT LIMITED","Bureau De Change","","7/3/2007","Hamdala Hotel Shopping complex","","KAD","","","","","Hamdala Hotel Complex Kaduna","NGN","","","7/3/2007",
"Al-Muamalat Bureau de Change Limited","Bureau De Change","","","GI, Lebanon Road, Fagge Ta-Kudu, Kano","","KAN","064-986830; 0802 379 0901","","","","GI, Lebanon Road, Fagge Ta-Kudu, Kano","NGN","Domestic","","",
"Al-Tasawuq BDC Limited","Bureau De Change","","6/11/2007","G11, Amana House, Fagge Takudu Street,","","KAN","064-646934; 634683","","","","","NGN","Domestic","","6/11/2007",
"Alzang Bureau de Change Limited","Bureau De Change","","","Block 11, Beesam Shopping Complex, MMA Road, Conco","","LAG","08033137976; 08025000000","","","","Block 11, Beesam Shopping Complex, MMA Road, Conco","NGN","Domestic","","7/19/2007",
"Ameya Bureau de Change Limited","Bureau De Change","","","25, Rhodes Crescent, Apapa, Lagos","Lagos Island","LAG","01 - 5804135; 0803 474 8034","","","","25, Rhodes Crescent, Apapa, Lagos","NGN","Domestic","","12/18/2007",
"Amfidel Bureau De Change Limited","Bureau De Change","","6/22/2007","7th Floor, 155/161, Broad Street,","","LAG","01-264874","","","","","NGN","Domestic","","6/22/2007",
"AMG Bureau de Change Limited","Bureau De Change","","","1, Audu Bako Way, Off Nasarawa Hospital Road, Kano","","KAN","","","","","1, Audu Bako Way, Off Nasarawa Hospital Road, Kano","NGN","Domestic","","4/25/2007",
"Aminci BDC Limited","Bureau De Change","","6/11/2007","15, Sultan Bello Road, Market Area, Sokoto","","SOK","","","","","","NGN","Domestic","","6/11/2007",
"Amity Global Bureau de Change Limited","Bureau De Change","","","A2 Suite 172, Sura Shopping Complex, Simpson Stree","","LAG","0803 300 7672","","","","A2 Suite 172, Sura Shopping Complex, Simpson Stree","NGN","Domestic","","9/18/2007",
"Amjigar Bureau de Change Limited","Bureau De Change","","","18, Sanni Adewale Street, 2nd Floor, Lagos Island,","Lagos Island","LAG","0803 4202 084","","","","18, Sanni Adewale Street, 2nd Floor, Lagos Island,","NGN","Domestic","","",
"Amram Bureau de Change Limited","Bureau De Change","","","36, Royce Rd, Owerri, Imo State.","","IMO","0803 3284 549; 0805 0234 332; 0805 3432 479","","","","36, Royce Rd, Owerri, Imo State.","NGN","Domestic","","8/1/2007",
"Amsalco Bureau De Change Limited","Bureau De Change","","","G 1 Lebanon Road, Kano, Kano State","","KAN","","","","","G 1 Lebanon Road, Kano, Kano State","NGN","Domestic","licensed as bureau de change","",
"AMX Bureau De Change Limited","Bureau De Change","","6/22/2007","10, Ogui Road,","","ENU","","","","","","NGN","Domestic","","6/22/2007",
"APEM Bureau De Change Limited","Bureau De Change","Peterking BDC Limited","6/22/2007","142, Ojuelegba Road,","","LAG","01-7758531; 7758532","","","","Surulere,","NGN","Domestic","","6/22/2007",
"Arapasopo Bureau de Change Limited","Bureau De Change","","","Shop 023, Amuwo Odofin Shopping Complex, Mile 2 B/","","LAG","","","","","Shop 023, Amuwo Odofin Shopping Complex, Mile 2 B/","NGN","Domestic","01 8971172; 0803 7220 959","8/10/2007",
"Aras Bureau de Change Limited","Bureau De Change","","","Block 9, FAAN Shopping Complex, Airport Road, Ikej","Ikeja ","LAG","0802 322 2066","","","","Block 9, FAAN Shopping Complex, Airport Road, Ikej","NGN","Domestic","","10/8/2007",
"ARIEL BDC LIMITED","Bureau De Change","","3/19/2007","Suite 5, Halbiz Complex; 22, Danukofia Street; Opp","","ABU","09-3141747","","","kbolaji@yahoo.com","FCDA, Area 11, Garki","NGN","Domestic","","3/19/2007",
"Arise Bureau de Change Limited","Bureau De Change","","","22A, Kosoko Str., Lagos.","","LAG","0802 3145 703","","","","22A, Kosoko Str., Lagos.","NGN","Domestic","","",
"ARRIX Investment Bureau De Change Limited","Bureau De Change","","6/22/2007","24, Breadfruit Street, 3rd Floor,","","LAG","","","","","","NGN","Domestic","","6/22/2007",
"Artchris Bureau de Change Limited","Bureau De Change","","","3,5,7 Kakawa Street, Lagos","Lagos Island","LAG","01 - 7218274; 0803 435 0341","","","artchrisdechange@yahoo.com","3,5,7 Kakawa Street, Lagos","NGN","Domestic","","8/29/2007",
"ASAAB BDC","Bureau De Change","","6/29/2007","1  Post Office Road","","KAN","","","","","1 Post Office Road , Kano.","NGN","","","6/29/2007",
"Asarara  Bureau de Change Limited","Bureau De Change","","","Suite 29A, 148, Awolowo Road, Rodeo Shopping Compl","","LAG","0802 3686868","","","","Suite 29A, 148, Awolowo Road, Rodeo Shopping Compl","NGN","Domestic","","8/29/2007",
"Astron Bureau de Change Limited","Bureau De Change","","","65, Ojo Igbede Road, Alaba Interl. Market, Lagos","Lagos Island","LAG","01 - 2814567; 2814562","","","mikedadnig@hyperia.com","65, Ojo Igbede Road, Alaba Interl. Market, Lagos","NGN","Domestic","","4/30/2007",
"ATI Bureau de Change Limited","Bureau De Change","","","7th Floor, Elder Dempster House, 47, Marina - Lago","Lagos Island","LAG","","","","","7th Floor, Elder Dempster House, 47, Marina - Lago","NGN","Domestic","","7/31/2007",
"Atlantic Mediterranean Bureau De Change Ltd","Bureau De Change","","7/3/2007","Adetokunbo Ademola Street,","","LAG","","","","","Victoria Island,","NGN","Domestic","","7/3/2007",
"ATLAS BDC LIMITED","Bureau De Change","","","47/57 marins street","Lagos","LAG","","","","","47/57 Marins Street, Lagos","NGN","","","",
"At-Teejarah Bureau De Change Limited","Bureau De Change","","","No. 333A, Abdullahi Wase Road, Kantin Kwari, Kano","Kano","KAN","","","","","","NGN","Domestic","","5/25/2009",
"B.C.I. Bureau De Change Limited","Bureau De Change","","","No. 30, Beirut Road, Kano","Kano","KAN","","","","","","NGN","Domestic","","5/25/2009",
"Baba Danbappa Bureau De Change Limited","Bureau De Change","","","No. 11, Zaria Road, Kano","Kano","KAN","","","","","","NGN","Domestic","","5/25/2009",
"Badal Bureau De Change Limited","Bureau De Change","","","No. B104, Ramat Shopping Complex, Sir Kashim Ibrah","","BOR","08033338657, 080235252856","","","","No. B104, Ramat Shopping Complex, Sir Kashim Ibrah","NGN","Domestic","","9/19/2007",
"Bahasa Bureau de Change Limited","Bureau De Change","","","47, Sakponba Road, Benin-City","","EDO","0805 573 7321; 0806 631 1300","","","","47, Sakponba Road, Benin-City","NGN","Domestic","","8/10/2007",
"Baloon Bureau de Change Limited","Bureau De Change","","","9A, Adeola Odeku Street, V/I.9A, Adeola Odeku Stre","","LAG","0803 407 7070","","","","9A, Adeola Odeku Street, V/I.","NGN","Domestic","","12/27/2007",
"Banctrust Bureau De Change Limited","Bureau De Change","","6/22/2007","132, Broad Street, Lagos","","LAG","01-7901514","","","","","NGN","Domestic","","6/22/2007",
"BANKSON BDC LIMITED","Bureau De Change","","","23a New Market Road","Onitsha","ANA","","","","","23 A New Market Road, Onitsha Anambra.","NGN","","","",
"BAREWA ENT. BDC LIMITED","Bureau De Change","","","Ramat shopping complex kashim ibrahim road","","BOR","","","","","Ramat Shopping Complex Kashim Ibrahim Road , Maidu","NGN","","","",
"Baros Bureau de Change Limited","Bureau De Change","","","Block 12/12 Sura Shopping Complex, Lagos.","","LAG","01-7230991","","","","Block 12/12 Sura Shopping Complex, Lagos.","NGN","Domestic","","8/10/2007",
"Base Bureau De Change Limited","Bureau De Change","","","KM 13, Lagos/Epe Expressway, Lekki","Lagos","LAG","","","","","","NGN","Domestic","","5/25/2009",
"Basic Bureau De Change Limited","Bureau De Change","","6/22/2007","284, Ladoke Akintole Boulevard,","","ABU","","","","","Garki II","NGN","Domestic","","6/22/2007",
"Basic Concepts Limited Bureau De Change ","Bureau De Change","","6/22/2007","Suite 3, 1st Floor, Zone 4 Plaza,","Abuja","ABU","09-5231787; 5231781","","","","Addis Ababa Crescent, Wuse Zone 4,","NGN","Domestic","","6/22/2007",
"BAT INVESTMENT BDC LIMITED","Bureau De Change","","","111 Obafemi Awolowo Way","","LAG","","","","","111 Obafemi Awolow Way  Ikeja , Lagos","NGN","","","",
